time,latitude,longitude,u10,v10,t2m,d2m,msl,sst,sp,u100,v100,stl1,swvl1,cvh
2025-03-01,34.87,-119.279,2.59,1.53,268.5,287.56,972.0,275.65,950.1,2.88,2.07,280.9,0.24,0.49
2025-03-01,34.87,-119.02890909090908,2.4,1.55,289.21,265.53,1031.83,293.66,963.15,2.91,2.06,290.27,0.24,0.47
2025-03-01,34.87,-118.77881818181817,2.54,1.47,287.69,294.52,934.37,308.7,932.78,3.19,2.07,266.44,0.23,0.5
2025-03-01,34.87,-118.52872727272725,2.33,1.54,295.48,274.11,1133.26,290.74,1086.44,2.77,2.06,282.8,0.22,0.47
2025-03-01,34.87,-118.27863636363634,2.49,1.37,297.52,289.51,983.01,285.91,991.97,2.87,2.11,291.8,0.25,0.49
2025-03-01,34.87,-118.02854545454542,2.72,1.56,292.78,273.61,1048.63,285.69,954.36,2.82,2.06,287.24,0.25,0.45
2025-03-01,34.87,-117.77845454545451,2.5,1.49,307.12,315.92,1067.04,313.63,1005.01,3.2,1.93,283.4,0.26,0.49
2025-03-01,34.87,-117.5283636363636,2.63,1.5,296.19,273.24,989.15,308.22,1039.57,2.81,1.91,283.49,0.25,0.51
2025-03-01,34.87,-117.27827272727268,2.53,1.51,296.89,289.28,925.28,322.27,1078.5,3.05,2.02,261.02,0.26,0.49
2025-03-01,34.87,-117.02818181818176,2.54,1.47,268.47,264.13,1031.08,309.32,978.75,2.93,2.13,285.4,0.24,0.53
2025-03-01,34.12,-116.528,2.39,1.48,280.09,289.29,1003.79,316.84,1024.02,2.78,1.85,286.41,0.26,0.47
2025-03-01,34.87,-116.77809090909085,2.41,1.54,286.96,273.67,1051.93,294.97,966.52,3.05,1.97,274.27,0.27,0.48
2025-03-01,34.62,-119.279,2.38,1.53,298.48,249.9,965.25,273.78,1134.39,3.0,2.04,297.11,0.26,0.51
2025-03-01,34.62,-118.77881818181817,2.63,1.52,294.29,309.64,940.65,296.95,1001.52,2.95,1.95,284.23,0.24,0.48
2025-03-01,34.62,-118.52872727272725,2.69,1.54,298.62,310.46,1032.7,320.94,1016.48,3.15,2.0,304.05,0.24,0.49
2025-03-01,34.62,-118.27863636363634,2.76,1.48,282.11,287.52,1007.06,315.14,1016.54,2.81,2.16,284.7,0.24,0.49
2025-03-01,34.62,-118.02854545454542,2.45,1.57,287.44,301.4,983.6,264.18,1010.79,2.94,2.16,292.0,0.25,0.43
2025-03-01,34.62,-117.77845454545451,2.66,1.38,301.79,297.02,991.85,331.11,980.58,2.94,1.9,286.49,0.23,0.51
2025-03-01,34.62,-117.5283636363636,2.46,1.65,269.7,289.43,1141.21,294.22,1033.12,3.05,2.05,271.21,0.24,0.45
